Square_Footage,Bedrooms,Bathrooms,House_Price
1460,3,4,268191
4372,1,1,533161
3692,6,3,580697
1066,3,2,169891
4044,2,1,524419
3771,4,3,532429
3519,5,4,518811
730,1,1,97321
2285,5,1,348406
1369,2,4,241991
2991,5,2,430450
3033,1,4,400076
1784,2,1,224338
3985,5,4,563482
4717,4,3,639977
3504,6,4,522378
1074,2,1,143015
1682,6,4,308469
3158,2,2,442896
2647,4,4,447251
3347,6,2,501224
1575,3,3,288262
2406,1,2,317271
789,3,4,183060
3334,5,1,502051
3605,4,2,499671
2499,3,3,364954
1867,2,2,269228
2128,5,2,322667
3802,5,2,561141
4156,3,3,554925
4490,3,4,649461
1246,4,2,258645
3488,1,2,429466
3035,3,1,391791
1200,3,3,204149
2963,6,2,480478
2661,2,3,389271
841,6,2,235320
2641,6,4,442070
3424,5,4,527732
3212,1,2,433310
1963,2,4,329820
2078,4,2,352116
3156,4,4,498541
1375,3,1,243516
4614,3,1,635161
634,4,1,117363
3752,3,3,528931
2555,1,3,322725
2185,6,1,333729
4543,3,3,616330
3673,5,4,534198
1621,3,2,249615
4061,2,2,523474
3213,1,2,398564
4443,2,1,552912
2100,2,3,337426
761,5,4,219680
4897,1,4,639459
2581,1,1,341352
1595,1,4,242915
3942,1,4,522257
4398,1,4,575932
1875,5,4,342994
1616,3,3,253956
937,2,4,164179
1478,1,2,214580
1676,3,1,275536
4593,3,3,605747
979,2,4,201997
1092,5,3,236169
2662,4,4,390085
4484,4,2,619010
664,3,1,120979
3168,6,4,536856
2627,6,4,445330
3295,2,4,457353
2095,4,4,373542
991,3,1,190363
4161,5,1,580795
2878,4,2,414248
3699,3,1,512612
800,3,4,167087
3704,1,2,495785
3054,5,2,477517
4245,1,2,523746
1404,2,4,209067
3331,1,3,427483
3373,1,4,488925
2170,4,1,342345
3290,6,1,468879
4440,3,4,623916
1628,5,4,335811
1102,1,2,157455
1470,5,4,287217
806,6,2,201485
2084,6,1,350192
1463,1,2,206116
3390,2,4,505842
1163,1,1,152659
4791,4,3,678473
2357,3,2,362936
2278,2,1,289810
3842,1,2,479270
1659,5,1,283089
2322,2,1,294073
3914,2,2,523546
3757,1,3,505704
3225,2,1,415710
3329,5,1,465919
2197,6,1,375495
3660,2,3,485221
3293,6,3,491576
4227,5,4,599220
1963,1,2,296475
2581,3,3,372778
2263,2,2,302661
2129,3,4,351198
2638,5,2,414162
3902,2,3,507362
2837,6,2,433016
1906,4,3,346787
4629,3,2,617996
3275,2,3,445433
1882,3,3,271929
1309,2,2,214426
4348,1,4,555887
1263,6,1,232047
2598,3,4,366915
4045,4,2,593814
4343,4,4,593118
2095,5,3,337093
3904,2,1,517592
4363,3,2,597107
2453,5,2,388155
